YEAR,No. of Inmates benefitted by Elementary Education,No. of Inmates benefitted by Adult Education,No. of Inmates benefitted by Higher Education,No. of Inmates benefitted by Computer Course
2013,9480,13758,672,170
2013,0,0,0,0
2013,676,750,14,30
2013,1693,3013,125,1417
2013,1664,1803,192,103
2013,7,0,6,88
2013,2310,3133,875,966
2013,1131,774,1112,243
2013,33,80,26,0
2013,102,124,33,34
2013,3008,2595,138,574
2013,633,568,170,12
2013,156,96,24,250
2013,1978,9574,301,151
2013,346,2743,882,1330
2013,0,0,0,0
2013,1,30,0,0
2013,0,25,18,0
2013,0,0,0,0
2013,622,613,277,384
2013,325,606,112,168
2013,1050,237,64,38
2013,0,0,0,0
2013,68,1664,757,478
2013,15,13,4,2
2013,7876,8093,1353,212
2013,205,42,29,72
2013,2023,1889,123,460
2013,167,45,11,0
2013,0,265,85,0
2013,0,0,0,0
2013,0,0,0,0
2013,1458,1187,908,174
2013,0,0,0,0
2013,0,0,0,0
